"index";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"ips";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
1;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";"Mac";1.37;71379
2;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"AMD";"Windows";2.3;34046
3;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";"Mac";1.34;47896
4;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"N/A";1.86;30636
5;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";"Mac";1.83;135195
6;"Asus";"Notebook";17.3;1366;768;0;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";"Windows";2.8;24828
8;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";"Mac";1.37;96096
9;"Acer";"Notebook";15.6;1366;768;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";"Windows";2.1;21312
10;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";"Mac";2.04;114018
11;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";"Mac";1.34;61736
12;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"Windows";1.3;79654
13;"Acer";"Ultrabook";14.0;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.6;41026
14;"Acer";"Notebook";15.6;1920;1080;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"Windows";2.2;44808
15;"HP";"Notebook";15.6;1920;1080;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";"Windows";1.86;21232
16;"HP";"Notebook";13.3;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"Windows";1.49;58768
17;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"Windows";2.4;20460
18;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"Windows";2.13;40908
19;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"Windows";1.91;23390
20;"Asus";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";"Windows";2.0;31232
21;"HP";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"N/A";1.86;20987
22;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"N/A";1.86;18381
23;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";"Core i7";2.8;16;"SSD";256;0;"AMD";"Mac";1.83;130002
24;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";"Windows";2.2;26581
25;"Apple";"Ultrabook";12.0;2304;1440;0;1;"Intel";"Core M";1.2;8;"SSD";256;0;"Intel";"Mac";0.92;67261
26;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";"Mac";1.37;80908
27;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";"Windows";2.2;39694
28;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";"Mac";1.83;152274
29;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";"N/A";2.2;26587
30;"Dell";"Ultrabook";13.3;1920;1080;1;1;"Intel";"Core i5";1.6;8;"SSD";128;0;"Intel";"Windows";1.22;52161
31;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"Windows";2.43;130483
33;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";"Linux";2.0;22111
34;"Dell";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"Windows";2.8;69211
35;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"Windows";2.5;53227
36;"Dell";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.7;46833
37;"HP";"Notebook";15.6;1366;768;0;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"N/A";1.86;13746
38;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.62;43636
39;"Lenovo";"Notebook";14.0;1920;1080;0;1;"Intel";"Core i3";2.7;8;"SSD";256;0;"Intel";"N/A";1.7;31915
40;"HP";"Ultrabook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"Windows";1.91;35112
41;"Asus";"Notebook";14.0;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.4;50136
